ENTIDAD,CONCEPTO,TIPO,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
QUINTANA ROO,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0.0,-100.0,,0.0,50.0,-100.0,,,-66.7,-50.0,300.0,-50.0,0.0,50.0,0.0,-66.7,100.0,0.0,100.0
QUINTANA ROO,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,300.0,-100.0,,-100.0,,-100.0,,0.0,0.0,100.0,-50.0,100.0,-100.0,,,,,,0.0
QUINTANA ROO,OTROS DELITOS,ELECTORALES,,,,,,,,,,,,,,,,,,,
QUINTANA ROO,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,-100.0,,,,,,-100.0,,,-100.0,,,,,,,,,
QUINTANA ROO,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",0.0,350.0,-66.7,433.3,-87.5,300.0,0.0,-62.5,33.3,75.0,-42.9,-25.0,0.0,-33.3,50.0,-33.3,-50.0,0.0,300.0
QUINTANA ROO,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,166.7,-100.0,,-33.3,200.0,-50.0,100.0,-66.7,100.0,-50.0,100.0,-50.0,0.0,250.0,-85.7,0.0,-100.0,,-50.0
QUINTANA ROO,OTROS DELITOS,PATRIMONIALES,14.3,0.0,25.0,60.0,-68.8,260.0,-77.8,425.0,23.8,-80.8,60.0,112.5,-41.2,70.0,17.6,-10.0,5.6,-10.5,5.9
QUINTANA ROO,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,,-100.0,,,-100.0,,-100.0,,,,,,-100.0,,,,,,
SAN LUIS POTOSI,CONTRA LA SALUD,COMERCIO,100.0,-50.0,33.3,-25.0,-33.3,150.0,-100.0,,-100.0,,-70.0,33.3,-25.0,233.3,-20.0,-75.0,-50.0,300.0,0.0
SAN LUIS POTOSI,CONTRA LA SALUD,OTROS,,,,-100.0,,-100.0,,,,,,,-100.0,,,,,,
SAN LUIS POTOSI,CONTRA LA SALUD,POSESION,0.0,-66.7,100.0,-25.0,33.3,0.0,-75.0,100.0,25.0,60.0,-25.0,50.0,-44.4,100.0,-80.0,0.0,300.0,12.5,44.4
SAN LUIS POTOSI,CONTRA LA SALUD,PRODUCCION,0.0,-100.0,,,,,,,-100.0,,,,,-100.0,,,,,
SAN LUIS POTOSI,CONTRA LA SALUD,SUMINISTRO,-100.0,,,,,,,,,,,,,,,,-100.0,,
SAN LUIS POTOSI,CONTRA LA SALUD,TRAFICO,25.0,-60.0,200.0,-33.3,25.0,-60.0,100.0,-25.0,-33.3,250.0,0.0,-57.1,33.3,125.0,-55.6,-25.0,33.3,25.0,160.0
SAN LUIS POTOSI,CONTRA LA SALUD,TRANSPORTE,66.7,-60.0,-50.0,200.0,133.3,-28.6,60.0,0.0,-50.0,100.0,-25.0,-33.3,-75.0,0.0,400.0,20.0,-16.7,-100.0,
