ENTIDAD,CONCEPTO,TIPO,2019,2020,2021,2022,2023,2024,2025
AGUASCALIENTES,OTROS DELITOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,OTRAS LEYES ESPECIALES,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,OTROS,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,15,9,17,34,27,28,28
AGUASCALIENTES,OTROS DELITOS,OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,PATRIMONIALES,124,46,60,78,63,132,40
AGUASCALIENTES,OTROS DELITOS,POSESION,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,PRODUCCION,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,SUMINISTRO,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,TRAFICO,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,TRANSPORTE,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,3,1,1,1,0,1,0
BAJA CALIFORNIA,CONTRA LA SALUD,CODIGO FISCAL DE LA FEDERACION (C.F.F.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,COMERCIO,2,15,10,4,3,1,1
BAJA CALIFORNIA,CONTRA LA SALUD,COMETIDOS POR SERVIDORES PUBLICOS,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,CONTRA LA INTEGRIDAD CORPORAL,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,CONTRA LA SALUD,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,ELECTORALES,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,"FALSEDAD, TITULO DECIMO TERCERO",0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,LEY DE MIGRACION,0,0,0,0,0,0,0
